product_id,category,brand,is_amazon_owned
1,Books,"Kramer, English and Williams",True
2,Home,"Schmidt, Price and Barton",True
3,Books,Hill Ltd,True
4,Books,Ford Group,True
5,Home,"Walton, Holden and Moore",True
6,Books,Morton LLC,True
7,Electronics,Kline-Mckay,True
8,Fashion,"Gutierrez, Vargas and Daniels",False
9,Books,"Powell, Hebert and Washington",False
10,Books,Glenn Ltd,True
11,Books,Reese-Lynch,True
12,Home,Buck PLC,True
13,Electronics,Smith Ltd,True
14,Electronics,Evans-Orr,True
15,Books,Wu-Ferguson,False
16,Home,Harrell-Thomas,False
17,Home,"Ford, Willis and Frost",False
18,Home,Johnson-Nelson,True
19,Electronics,"Ray, Perez and Stokes",True
20,Electronics,Bell Group,False
21,Home,"Marquez, Johnston and Bradshaw",False
22,Fashion,"Peterson, Brown and Flores",False
23,Home,Hurst-Mckinney,True
24,Electronics,Jacobs PLC,False
25,Fashion,Rogers-Watkins,True
26,Home,Richmond-Lowe,False
27,Fashion,"Rice, Cook and Kidd",True
28,Books,"Montgomery, Hansen and Campbell",True
29,Fashion,French-Hernandez,True
30,Books,Price LLC,False
31,Home,"Lee, Fowler and Elliott",False
32,Electronics,Butler PLC,True
33,Books,"Sullivan, Kelly and Brady",True
34,Books,"Stone, Shelton and Cox",True
35,Electronics,"Horton, Morgan and Garcia",False
36,Electronics,Arnold and Sons,True
37,Home,Powell-Mitchell,True
38,Fashion,Whitney-Fisher,False
39,Electronics,Haney-Chavez,True
40,Books,Allen-Barnes,False
41,Fashion,Williams-Peterson,True
42,Books,"Lowe, Fields and Cox",False
43,Home,Thompson Inc,True
44,Home,Hamilton-Lopez,False
45,Books,"Herman, Martinez and Vincent",False
46,Fashion,"Ford, Weiss and Greene",False
47,Home,Hernandez-Colon,True
48,Home,"Burton, Miller and Ho",True
49,Home,Page-Hernandez,False
50,Books,"Alexander, Jones and King",False
51,Electronics,Lee-Hunter,True
52,Books,"Murphy, Harrison and Klein",True
53,Fashion,"Meyers, Harris and Page",False
54,Home,Dickerson Group,True
55,Books,Harrington Inc,False
56,Home,"Walker, Navarro and Kennedy",False
57,Home,"Marshall, Taylor and Murphy",True
58,Electronics,Zimmerman and Sons,False
59,Electronics,Peters-Lopez,False
60,Home,Mitchell Inc,True
61,Fashion,Bell LLC,True
62,Electronics,Richards LLC,True
63,Books,Mitchell and Sons,False
64,Fashion,Armstrong Group,True
65,Fashion,Ramirez LLC,True
66,Books,"Sanchez, Williams and Ellis",False
67,Home,Gonzales-Mckinney,False
68,Home,"Robinson, Bailey and Morgan",True
69,Fashion,"Skinner, Allen and Santiago",True
70,Home,Andrews-Johnson,False
71,Books,Arnold-Glenn,False
72,Books,Key Group,False
73,Electronics,"Jones, Valenzuela and Davis",False
74,Books,Welch-Thomas,False
75,Fashion,"Stein, Anderson and Sheppard",False
76,Books,Parker-Turner,False
77,Books,Johns Ltd,True
78,Fashion,Brewer LLC,False
79,Electronics,Nelson Ltd,True
80,Books,Carter LLC,False
81,Electronics,Hanson-Shelton,True
82,Electronics,Butler-Wright,False
83,Home,Mathis Ltd,False
84,Fashion,"Parker, Perry and Marshall",True
85,Fashion,Whitaker and Sons,True
86,Books,"Carroll, Shaw and Mclean",False
87,Fashion,Lambert-Ayers,True
88,Fashion,Macdonald-Wade,True
89,Books,Parker LLC,False
90,Home,"Brown, Richard and Peters",False
91,Electronics,"Potter, Green and Roberts",True
92,Home,"Bright, Graham and Walker",True
93,Electronics,"Velasquez, French and Murphy",False
